edad,segmento,saldo_total,numero_productos,visitas_app_mes,usa_web,usa_tarjeta_credito,reclamos_6m,satisfaccion_encuesta,tasa_credito_personal,rango_ingresos,region,cerrara_cuenta
56,Estándar,8550.71,3,9,0,1,1,4.3,45.4,Bajo,Costa,0
69,Estándar,20569.07,2,7,1,1,0,2.3,34.77,Medio,Sierra,0
46,Preferente,30249.93,2,4,0,0,1,3.4,24.3,Bajo,Selva,0
32,Estándar,16860.29,1,5,1,1,1,2.1,21.78,Bajo,Selva,0
60,Preferente,36094.67,1,4,1,1,0,3.9,44.75,Medio,Costa,0
25,Estándar,55458.09,5,4,1,1,1,3.9,32.02,Alto,Sierra,0
38,Estándar,8210.21,3,7,1,1,0,3.2,25.29,Bajo,Selva,0
56,Preferente,0.0,1,5,1,0,0,2.0,16.93,Medio,Costa,0
36,Preferente,24557.28,2,5,1,0,1,2.0,31.83,Bajo,Costa,0
40,Preferente,30823.44,2,6,1,0,1,2.5,38.24,Medio,Costa,0
28,Preferente,16537.0,4,6,1,0,0,1.6,29.42,Medio,Costa,0
28,Preferente,41798.91,1,5,1,1,0,2.4,26.57,Alto,Selva,1
41,Preferente,0.0,5,3,0,0,0,3.7,30.6,Alto,Sierra,0
70,Preferente,30393.78,3,6,1,1,0,4.3,44.95,Bajo,Costa,0
53,Preferente,10912.09,5,5,1,1,0,2.3,23.86,Bajo,Selva,0
57,Preferente,45790.67,2,5,0,0,0,1.9,29.87,Bajo,Costa,0
41,Preferente,49887.73,5,8,0,0,0,4.3,44.69,Muy Alto,Selva,0
20,Preferente,8500.15,2,5,0,1,1,4.6,38.95,Medio,Costa,0
39,Estándar,11756.64,2,9,1,0,1,2.6,36.43,Bajo,Costa,0
70,Preferente,32893.82,2,9,1,0,2,1.1,29.81,Bajo,Costa,0
19,Preferente,14193.04,2,3,0,1,1,3.8,35.24,Medio,Sierra,0
41,Estándar,19318.83,2,5,1,1,0,4.1,30.7,Bajo,Costa,0
61,Preferente,20380.83,4,7,1,1,1,1.1,28.12,Alto,Costa,0
47,Estándar,0.0,5,4,1,0,0,3.4,26.36,Medio,Selva,0
55,Estándar,19792.43,4,4,1,0,0,3.4,41.27,Medio,Selva,1
19,Preferente,9654.08,4,5,0,1,3,2.5,34.52,Medio,Sierra,0
38,Estándar,12603.16,1,8,1,1,0,4.0,37.52,Bajo,Selva,0
50,Preferente,41654.48,1,4,1,1,0,2.7,36.21,Medio,Selva,0
29,Preferente,1152.4,1,6,1,0,1,3.7,38.53,Alto,Sierra,0
39,Estándar,32198.08,3,6,1,0,0,3.1,32.96,Medio,Sierra,0
61,Estándar,15815.56,1,3,1,0,0,2.0,31.15,Medio,Selva,0
42,Estándar,15803.6,5,3,0,1,0,3.4,28.48,Alto,Sierra,0
66,Preferente,31855.58,4,6,1,0,1,3.9,23.69,Bajo,Costa,1
44,Premium,25100.77,5,7,1,1,1,4.9,26.02,Medio,Costa,0
59,Preferente,28559.19,1,6,0,0,0,2.5,32.08,Medio,Costa,1
45,Estándar,34522.77,3,7,0,1,0,1.3,22.18,Alto,Selva,0
33,Preferente,15030.37,3,5,1,0,0,5.0,23.94,Bajo,Sierra,0
32,Estándar,10816.45,4,6,1,1,1,3.5,43.34,Medio,Selva,0
64,Preferente,3722.74,5,7,0,0,0,4.8,36.79,Bajo,Sierra,1
68,Estándar,7618.84,2,4,1,1,1,1.4,31.39,Bajo,Costa,0
61,Preferente,64236.42,5,5,1,1,2,2.4,53.17,Alto,Sierra,0
72,Estándar,38670.19,1,8,1,0,1,1.5,21.81,Medio,Costa,0
69,Premium,0.0,2,6,0,1,1,4.3,42.8,Alto,Costa,0
