edad,ingresos_mensuales,estado_civil,historia_credito,nro_creditos_previos,cuota_vs_ingreso,vehiculo_propio,default
59,7668,Divorciado,Buena,2,0.64,0,1
49,6279,Casado,Buena,2,0.31,1,1
35,2722,Soltero,Mala,4,0.41,1,0
63,4314,Divorciado,Regular,4,0.57,0,0
28,4157,Soltero,Buena,1,0.34,0,0
41,6915,Casado,Buena,3,0.47,1,0
59,3625,Casado,Buena,1,0.62,1,0
39,3729,Divorciado,Regular,3,0.67,1,0
43,7700,Casado,Buena,3,0.19,0,0
31,2597,Soltero,Buena,4,0.66,1,0
31,4060,Divorciado,Buena,0,0.4,0,0
44,3693,Soltero,Buena,0,0.25,0,0
56,5891,Soltero,Regular,2,0.38,0,0
60,6147,Casado,Buena,4,0.69,1,0
44,6739,Casado,Mala,3,0.4,1,0
23,4627,Casado,Buena,0,0.3,1,0
42,2363,Casado,Buena,3,0.48,0,0
22,2981,Casado,Buena,0,0.24,1,0
44,6450,Divorciado,Buena,0,0.15,0,0
64,2663,Soltero,Mala,0,0.18,1,0
50,2529,Soltero,Regular,4,0.18,1,0
58,3038,Soltero,Buena,1,0.19,0,0
22,6592,Soltero,Regular,3,0.18,1,0
41,4302,Casado,Buena,4,0.48,0,0
53,3237,Soltero,Regular,4,0.21,1,0
32,6504,Divorciado,Buena,4,0.31,1,0
42,6496,Divorciado,Buena,4,0.64,0,0
64,2306,Soltero,Buena,4,0.38,1,0
45,5029,Soltero,Buena,2,0.5,0,0
47,7776,Divorciado,Buena,3,0.2,1,0
62,3675,Divorciado,Buena,4,0.22,1,0
48,6068,Casado,Buena,3,0.12,1,0
36,6864,Divorciado,Buena,2,0.2,0,0
35,2282,Casado,Mala,2,0.27,1,0
64,1709,Casado,Buena,3,0.21,1,0
23,6575,Casado,Buena,0,0.15,0,0
57,6530,Casado,Regular,1,0.17,0,0
27,5744,Casado,Regular,0,0.38,1,1
41,5413,Soltero,Buena,0,0.22,1,1
29,4748,Divorciado,Buena,0,0.32,1,0
59,6353,Casado,Regular,4,0.4,1,0
38,5779,Divorciado,Buena,2,0.51,1,0
24,1663,Divorciado,Mala,0,0.12,0,0
45,2998,Casado,Regular,2,0.58,0,0
34,4445,Soltero,Buena,3,0.48,0,0
29,4743,Casado,Buena,1,0.15,1,0
46,6727,Soltero,Mala,3,0.62,0,1
22,2495,Divorciado,Buena,3,0.65,1,0
40,4304,Soltero,Buena,4,0.14,1,0
48,4763,Soltero,Regular,1,0.27,1,1
27,6232,Soltero,Regular,3,0.58,0,1
64,2853,Divorciado,Mala,3,0.55,1,0
28,6616,Divorciado,Mala,1,0.21,0,1
55,7585,Soltero,Regular,1,0.23,1,0
34,5659,Soltero,Regular,3,0.32,0,0
37,2291,Casado,Regular,1,0.39,0,0
56,4581,Soltero,Regular,3,0.47,1,0
60,4457,Casado,Buena,3,0.32,0,0
24,2636,Soltero,Buena,4,0.38,0,0
22,4696,Casado,Regular,0,0.55,1,0
26,3999,Divorciado,Regular,3,0.12,1,0
62,4152,Soltero,Regular,2,0.25,1,0
24,1698,Soltero,Regular,0,0.53,1,0
49,3160,Soltero,Regular,0,0.64,1,1
38,5097,Soltero,Buena,0,0.41,0,1
46,5737,Casado,Buena,4,0.42,0,0
64,7363,Soltero,Buena,3,0.16,0,0
54,6685,Divorciado,Buena,4,0.37,1,0
30,1854,Divorciado,Buena,3,0.42,1,0
56,6855,Soltero,Regular,4,0.25,1,1
34,7528,Divorciado,Buena,4,0.26,1,0
51,4474,Soltero,Regular,2,0.33,1,0
35,6757,Soltero,Buena,4,0.11,0,0
28,6249,Divorciado,Regular,1,0.29,1,0
34,6172,Soltero,Buena,2,0.23,1,0
43,2707,Divorciado,Buena,4,0.3,1,0
60,3777,Casado,Buena,0,0.17,0,0
41,6791,Soltero,Regular,1,0.63,1,0
36,2733,Casado,Buena,1,0.46,1,0
38,6535,Divorciado,Mala,1,0.51,1,1
44,7390,Casado,Buena,2,0.57,1,1
46,5931,Casado,Buena,4,0.4,1,0
45,4510,Divorciado,Mala,4,0.15,1,0
61,1202,Casado,Buena,0,0.42,0,0
49,4255,Casado,Buena,0,0.45,1,0
35,5218,Divorciado,Buena,1,0.55,1,1
21,5496,Casado,Buena,0,0.36,1,0
45,1766,Divorciado,Regular,2,0.18,1,0
27,5389,Casado,Buena,4,0.27,1,0
29,3327,Divorciado,Buena,1,0.32,1,0
44,3931,Divorciado,Buena,0,0.49,1,0
21,1197,Casado,Regular,2,0.44,0,0
64,2930,Casado,Buena,2,0.31,1,0
28,4582,Casado,Buena,0,0.69,1,0
44,7895,Soltero,Regular,4,0.46,0,0
31,7287,Soltero,Regular,0,0.24,1,0
37,1608,Soltero,Buena,1,0.16,1,0
28,4272,Divorciado,Buena,0,0.19,1,0
55,2147,Casado,Buena,2,0.25,1,0
55,5282,Divorciado,Buena,0,0.2,0,0
53,4397,Soltero,Buena,4,0.21,0,0
25,3511,Casado,Buena,3,0.27,0,0
62,2794,Divorciado,Buena,0,0.2,1,0
59,1659,Casado,Buena,4,0.64,0,1
61,3811,Divorciado,Mala,4,0.15,0,1
48,7051,Casado,Regular,2,0.41,0,0
27,7546,Soltero,Buena,4,0.35,1,0
29,2369,Soltero,Mala,4,0.69,1,0
28,2986,Casado,Regular,4,0.17,0,0
32,6630,Divorciado,Buena,4,0.34,0,0
54,1146,Soltero,Buena,1,0.68,1,0
53,4219,Soltero,Buena,1,0.62,1,0
43,3911,Soltero,Buena,2,0.59,0,0
44,2734,Casado,Regular,0,0.25,1,0
57,2843,Casado,Buena,4,0.2,0,0
55,1488,Divorciado,Buena,0,0.5,0,0
64,3976,Divorciado,Mala,0,0.66,1,0
60,2959,Divorciado,Regular,2,0.43,1,0
42,6759,Casado,Buena,4,0.44,1,0
47,7694,Casado,Mala,4,0.27,0,0
55,3385,Divorciado,Mala,3,0.56,1,0
21,3919,Divorciado,Mala,0,0.21,1,1
55,5736,Casado,Buena,0,0.29,0,0
57,2802,Divorciado,Regular,1,0.36,1,0
34,7616,Soltero,Buena,3,0.4,0,0
23,7065,Casado,Regular,1,0.25,1,0
21,7294,Divorciado,Mala,1,0.17,0,0
25,6534,Casado,Regular,1,0.47,1,0
46,5061,Soltero,Regular,2,0.27,0,1
34,4369,Casado,Regular,2,0.45,1,0
59,6730,Casado,Regular,1,0.19,1,1
47,1262,Casado,Buena,3,0.39,1,0
29,6883,Casado,Buena,0,0.42,0,0
35,7287,Soltero,Buena,3,0.13,1,0
35,7489,Casado,Regular,4,0.3,0,0
46,1623,Casado,Buena,2,0.18,1,0
62,2016,Divorciado,Buena,0,0.14,0,1
33,4643,Casado,Buena,0,0.69,0,1
52,5976,Divorciado,Buena,4,0.29,0,0
59,3049,Soltero,Regular,4,0.59,1,1
52,6423,Soltero,Regular,1,0.25,1,0
24,7397,Soltero,Buena,2,0.51,0,0
50,4723,Soltero,Mala,2,0.56,1,0
57,5548,Divorciado,Buena,3,0.46,1,1
43,4108,Casado,Buena,1,0.38,1,1
59,6279,Soltero,Regular,1,0.35,1,0
35,5090,Casado,Buena,1,0.31,1,0
63,3056,Divorciado,Buena,1,0.66,1,1
49,4170,Divorciado,Regular,2,0.6,0,0
56,2682,Divorciado,Buena,2,0.68,0,0
